"intercept","slope","r.squared","fstatistic","p.value","Predator.lifestage","Type.of.feeding.interaction","Location"
"4.72504035144858","0.621895377669316","0.384283752048305","34.9509862477974","2.12538395847125e-27","adult","predacious/piscivorous","Apalachicola Bay, Florida"
"4.7948478408458","0.50644882649248","0.293713022751524","42.0013624114544","2.1929714554336e-37","adult","predacious/piscivorous","Crooked Island Sound, Florida"
"6.96676095437557","0.315601167257102","0.13840835729043","13.4939818773465","2.44896716677716e-39","adult","piscivorous","Apalachicola Bay, Florida"
"11.3795272341052","0.107808454068974","0.0955172500566943","40.8688565638844","0","adult","piscivorous","Jeffreys Ledge, Gulf of Maine, New England"
"11.7923413214184","0.108492499541347","0.0385393345397017","20.2024121275003","0","adult","piscivorous","Stellwagen Bank, Gulf of Maine, New England"
"12.3638007966521","-0.000755719487485046","1.05682888325648e-05","0.000739788036573185","2.88500442599827e-76","adult","piscivorous","Cape Cod Bay, Gulf of Maine, New England"
"10.77512339479","0.275645033772453","0.236407118878563","224.458825408694","0","adult","piscivorous","Great Channel South, Gulf of Maine, New England"
"9.90592950591141","0.486799091516025","0.136288598876772","2.20911797828936","1.38391452759322e-09","adult","piscivorous","South of Marthas Vineyard, New England"
"12.140634178118","0.0637787507225842","0.00369890195870809","0.293298135786887","3.3117494752075e-45","adult","piscivorous","Gulf of Maine, New England"
"4.15309731870386","0.102300793203792","0.0484716094614919","3.7186777881492","1.56873100281464e-49","adult","piscivorous","Mid Atlantic"
"9.80728447063068","-0.00344440892783919","0.000137077297159917","0.257603552962263","0","adult","piscivorous","French Polynesian EEZ"
"6.29080531131292","0.260141577182125","0.167648928394048","2213.9660580383","0","adult","piscivorous","Atlantic Ocean"
"10.6433842999675","0.192985490250414","0.142626808084677","59.2217533239127","4.77033075346625e-296","adult","piscivorous","Off the Bay of Biscay"
"3.04781706869486","0.381984962733834","0.268430572529679","108.242657392169","1.78924786867079e-139","adult","piscivorous","Great South Bay, Long Island, New York"
"5.19728082521118","0.446320367632758","0.360856572626597","1179.43695879791","0","adult","piscivorous","Europe, Celtic Sea ecosystem"
"2.84395790386422","0.652009130082474","0.621375968997542","205.142805962542","2.75617285144532e-30","adult","piscivorous","Eastern Mediterranean"
"10.2425928591287","0.0631832278723198","0.0480008709870067","6.85727355759358","7.79992446860181e-182","adult","planktivorous","French Polynesian EEZ"
"1.5578783039798","-0.188526023745906","0.000777961069261578","0.0140142017500867","0.560881256319764","adult","planktivorous","Eastern Mediterranean"
"11.7555841576777","-0.0283090245871123","0.00621738162868253","0.218969775664341","2.19621930235874e-47","adult","predacious","Jeffreys Ledge, Gulf of Maine, New England"
"12.6221600511456","0.182768954519518","0.206194400151178","1.29877138804795","6.69498079509308e-07","adult","predacious","Stellwagen Bank, Gulf of Maine, New England"
"12.667694092929","0.0294846614061537","0.0302655879145218","0.436942554087641","1.61819095741324e-19","adult","predacious","Cape Cod Bay, Gulf of Maine, New England"
"12.5263754272109","0.357253501132577","0.197889961568321","5.42765823379465","9.54645729477189e-29","adult","predacious","Great Channel South, Gulf of Maine, New England"
"10.1808028012821","0.0583894765003328","0.00265210461319651","0.071797238343331","1.07193065931895e-15","adult","predacious","South of Marthas Vineyard, New England"
"12.0317192583854","-5.8170431150463e-15","0.422621943704169","2.19590235078641","4.81855874309561e-46","adult","predacious","Gulf of Maine, New England"
"3.76625484911866","0.358208680187523","0.657742185314355","69.1838656571366","8.84308982593887e-31","adult","predacious","Mid Atlantic"
"9.75686769613361","-0.0138206603455201","0.00181756641442431","3.62354319511703","0","adult","predacious","French Polynesian EEZ"
"6.89914238491722","0.205892717694039","0.168513283612109","1031.15969277666","0","adult","predacious","Atlantic Ocean"
"10.4197372146788","0.203506978120733","0.0873452550974306","45.0768654638197","2.65965182536868e-279","adult","predacious","Off the Bay of Biscay"
"1.77465298135466","0.17111969518826","0.023231298638501","5.18487447041866","1.49467330254243e-85","adult","predacious","Eastern Mediterranean"
"7.61765814929771","0.255431068910441","0.0622128331867772","1.7911809368762","8.87875922508776e-12","juvenile","piscivorous","Apalachicola Bay, Florida"
"1.27848314402828","0.709121551017255","0.62039772600606","31.0523872001444","0.024438192701571","juvenile","piscivorous","W Greenland"
"8.62335338724459","-3.07653900653271e-15","0.499856193150871","2975.2880404236","0","juvenile","piscivorous","Off the Bay of Biscay"
"2.61342271573401","0.168911383542265","1","NaN","NaN","juvenile","planktivorous","Gulf of Alaska"
"0.951822279780523","0.0397576284666678","0.240623932316181","12.9916936348212","8.08958546732674e-16","juvenile","predacious","Gulf of Alaska"
"-1.7994463105477","0.0432429593286009","0.148366503387041","24.3899641768384","1.20140893188085e-64","juvenile","predacious","W Greenland"
"8.62335338724462","-6.27387258282986e-17","0.498159615814718","595.599276001025","0","juvenile","predacious","Off the Bay of Biscay"
"-0.594631029295368","0.0778070237368167","0.080545974091978","115.021372469738","1.55499389101311e-21","juvenile","predacious","Oxwich Bay, Wales"
"-2.19426552537672","0.25765387239584","0.280072857461197","170.005867925651","8.41023420199857e-13","larva","planktivorous","Catalan Sea"
"-3.4487184256598","0.161010317505002","0.0857054685549194","20.2477216817681","1.26106333722401e-11","larva","planktivorous","Western North Pacific"
"11.1598881317021","1.02077538176859","0.330043815585916","156.165271662109","3.96650463871498e-21","larva","planktivorous","Antarctic Peninsula"
"-3.83868606682441","0.258813702633504","0.0982205090743172","5.1191715634985","5.48663782032018e-11","larva","planktivorous","Greenland"
"7.00529694337674","0.941421745921813","0.412420670135113","22.4607312979481","0.0133551616114952","larva","predacious","Andaman Sea (West of South Thailand)"
"-2.66286554355492","0.150488902922313","0.146191921213292","38.8677115383767","5.43902539047681e-17","larva","predacious","Western North Pacific"
"7.41883913802823","0.724801160896601","0.637066906559136","1662.29636099526","5.79305661447751e-145","larva","predacious","Antarctic Peninsula"
"4.96732009411791","0.652630804441673","0.502262057547569","9.08180416316188","0.00412862179863886","larva / juvenile","piscivorous","Strait of Georgia"
"5.083129495985","0.537539976546299","0.2383099678989","36.9186611704769","0.00014386089716496","larva / juvenile","planktivorous","Strait of Georgia"
"10.4119448445479","1.09890063283713","0.71542157959282","47.7654278662958","2.93398007391812e-05","larva / juvenile","predacious","NE North Sea and Skaggerak"
"3.58794771931321","0.510273652134304","0.422183530433424","339.023147381122","1.42593987536162e-25","larva / juvenile","predacious","Strait of Georgia"
"0.946030011005037","0.384249046154572","0.125577629410638","4.3083628793485","0.141966195553604","larva / juvenile","insectivorous","Strait of Georgia"
"6.81310614810304","0.675479706794874","0.231238785388308","78.8080363840136","5.48488274595706e-10","postlarva/juvenile","planktivorous","Antarctic Peninsula"
"1.66714590677882","0.211649696643391","0.14416882005629","99.0513879135296","2.68363947909058e-09","postlarva/juvenile","predacious","Antarctic Peninsula"
"-2.52746573405741","0.106773528674382","0.038969869305227","1.25705314524184","1.12420077881278e-07","postlarva","piscivorous","Antarctic Peninsula"
"-1.61375195212254","0.15403834606651","0.109207422360888","8.58170550266892","6.65875453993381e-09","postlarva","predacious","Antarctic Peninsula"
